id	app	m	c	loc	scale
1	grep	1	0.530932229	97.28	0.264154219
2	grep	2	6.012929619	82.83394555	11.16379033
3	grep	3	0.7584944	88.687	18.20706848
4	grep	4	3.352530699	87.30164695	6.319044092
5	grep	5	0.810654525	92.12	20.37620025
6	grep	6	0.812438145	89.913	15.54010581
7	grep	7	0.721162357	93.333	9.752015817
8	grep	8	5.965754477	77.39856034	18.55095244
9	grep	12	0.670140566	93.373	14.60796529
10	grep	16	0.634485781	94.062	9.1306052
11	grep	24	0.535197131	98.6	15.01668786
12	grep	32	0.665180231	94.181	9.673651434
13	grep	48	0.850518334	93.244	12.43051393
14	grep	64	3.358690342	74.6549738	18.09373532
15	grep	80	1.714785675	68.03886655	18.44010385
16	grep	96	2.189661688	59.468002	18.07381764
17	grep	128	2.175661138	48.09220692	15.06483683
18	wc	1	3.294634954	96.86905244	0.336513616
19	wc	2	11.81914273	78.34093834	18.27274345
20	wc	3	3.071555078	92.99184582	3.066129733
21	wc	4	7.856654948	76.38434857	17.72732515
22	wc	5	0.835965301	89.86	15.4292226
23	wc	6	3.959991489	90.08371964	5.470065622
24	wc	7	0.789116772	91.694	16.6149654
25	wc	8	0.803901213	95.18	11.12258217
26	wc	12	3.077001595	90.39201317	5.070508769
27	wc	16	0.658748876	94.173	6.818532328
28	wc	24	2.113849226	84.61018973	7.576425923
29	wc	32	1.271162578	81.63477699	10.78169491
30	wc	48	2.023137312	82.33541272	10.04279984
31	wc	64	1.225918663	60.58413615	13.37490346
32	wc	80	1.385393924	63.54188248	14.23124729
33	wc	96	0.968085825	40.406	12.29769689
34	wc	128	0.984139019	45.041	11.91406166
35	sol	1	1.164894251	93.00441583	0.491027137
36	sol	2	10.15686054	68.27119652	23.75963219
37	sol	3	0.62222167	95.16	6.049867112
38	sol	4	13.40578572	69.16877223	25.74107306
39	sol	5	0.494180629	95.6	15.23749344
40	sol	6	0.852713279	95.653	3.304756063
41	sol	7	0.38964989	96.14	20.60024241
42	sol	8	0.610643695	96.394	13.88620409
43	sol	12	0.648120453	96.853	3.21725794
44	sol	16	0.570464553	97.025	9.304977003
45	sol	24	0.689738112	97.237	2.035168409
46	sol	32	0.611223733	97.45	1.259761713
47	sol	48	0.720448397	97.487	1.566159308
48	sol	64	0.66816768	97.406	1.726239113
49	sol	80	1.237934736	95.56203778	2.44667094
50	sol	96	1.664489631	95.35374424	2.442301817
51	sol	128	1.015279584	90.70565441	2.172015524
52	rcount	1	2.757148558	97.6845004	0.24869177
53	rcount	2	12.64762583	82.57943175	14.24100112
